a�o,Periodo,Grado,Numero de grupos
2022,2,Cuarto semestre,18
2022,2,Quinto semestre,17
2022,2,Sexto semestre,22
2022,2,Séptimo semestre,18
2022,2,Octavo semestre,11
2022,2,Noveno semestre,14
2023,1,Primer semestre,3
2023,1,Segundo semestre,23
2023,1,Tercer semestre,20
2023,1,Cuarto semestre,18
2023,1,Quinto semestre,14
2023,1,Sexto semestre,18
2023,1,Séptimo semestre,17
2023,1,Octavo semestre,14
2023,1,Noveno semestre,10
